,name,link,sponsoring_researchers,institution,fields_of_research,deadline,
0,Pre-Doctoral Research Associate,https://bit.ly/3KgmWY2,Professors Amy Huber and Huan Tang," Wharton School, University of Pennsylvania",Financial Economics,Rolling,
1,Research Professional,https://bit.ly/3mhcAz5,Anthony Welsch,The University of Chicago Booth School of Business,Accounting,"Applications are reviewed on a rolling basis; submit your application by April 21, 2023 to be included in the first batch of reviews.",
2,Pre-Doctoral Fellowship,https://bit.ly/3ZFjgVu,Professor Emily Breza,Harvard University,Development Economics,Rolling,
3,Full-Time Research Assistant,http://bit.ly/3U2AKtJ,Timothy Layton and Amitabh Chandra,The National Bureau of Economic Research,Health Care and Public Economics,N/A,
4,Research Professional,http://bit.ly/3M4Q3jr,Anna Costello,The University of Chicago Booth School of Business,Accounting,"Applications will be evaluated on a rolling basis, but all applications submitted by April 28, 2023, will be given full consideration.",
5,Research Professional,http://bit.ly/3Zshmra,Christopher Blattman,The Becker Friedman Institute for Economics at the University of Chicago,"Violence prevention, economics organized crime, topics at the intersection of development economics and political economy",21-Apr-23,
6,Predoctoral Research Fellow,http://bit.ly/3ZDghgl,Alessandra Voena and Neale Mahoney (co-mentors),Stanford Institute for Economic Policy Research (SIEPR),"Healthcare, Development, Microeconomics, Finance",Rolling,
7,Research Professional,http://bit.ly/42BrIaY,Christina Zhu and Frank Zhou,"The Wharton School, University of Pennsylvania",Corporate finance and accounting,"Applications will be evaluated on a rolling basis, full consideration given to those submitted by April 14, 2023",
8,Research Professional,https://bit.ly/3eAGpXu,Guillaume Pouliot and Alexander Torgovitsky,The Becker Friedman Institute for Economics at the University of Chicago,Big data,21-Apr-23,
9,Research Professional,http://bit.ly/42xBU3Z,Oeindrila Dube,Sponsoring  The Becker Friedman Institute for Economics at the University of Chicago,"Economics, Political Economy, Big Data",21-Apr-23,
10,EPIC Research Professional,https://bit.ly/3ybbszN,Shaoda Wang,Sponsoring  The Energy Policy Institute at the University of Chicago,"Development economics, environmental economics, and political economy",Rolling,
11,Research Professional,https://bit.ly/3dLGTJV,Koichiro Ito,Sponsoring  The Energy Policy Institute at the University of Chicago,"Domestic and international environmental policies, randomized controlled trials, quasi-experimental research design, and structural estimation",Rolling,
12,Pre-Doctoral Research Associate,http://bit.ly/3zdQpwz,Will Goetzmann,"Sponsoring  International Center for Finance, Yale School of Management","Finance, Economics, Statistics, Mathematics, Computer Science or a related field",Rolling,
13,Pre-Doctoral Research Associate,https://bit.ly/3luLOTC,Christian McNamara and Andrew Metrick,"Sponsoring  Yale Program on Financial Stability, Yale School of Management","Economics, Political Science, or a related field",Rolling,
14,Research Professional,https://bit.ly/42g36UV,Marianne Bertrand and Robert Gertner,"Sponsoring  Rustandy Center, Chicago Booth School of Business","Social Impact, ESG (Environmental, Social and Governance)",10-Apr-23,
15,Research Professional,https://bit.ly/3YLxWSf,Christina Patterson,Sponsoring  The University of Chicago Booth School of Business,Macroeconomics,Rolling,
16,Research Professional,https://bit.ly/3znXVVM,"Rodrigo Adao, Francesca Bastianello, Eric Budish, Jonathan Dingel, Jacob Leshno, Scott Nelson, Thomas Wollmann, and Anthony Lee Zhang",Sponsoring  The University of Chicago Booth School of Business,"Microeconomics, Macroeconomics, Finance","The first review is April 3, 2023, and we will continue to review applications received after this date until all positions are filled.",
17,Junior Laboratory Associate,http://bit.ly/3yxOyCz,Dr. Ashwini Ashokkumar,Sponsoring  New York University,Social Psychology,"For full consideration, please submit materials by April 1, 2023.",
18,Full-Time Research Assistant,https://bit.ly/3mCOzlP,Professor Stefanie Stantcheva,Sponsoring  Harvard University ,"Public economics, taxation, innovation, and public policy",Rolling,
19,The World Bank Robert S McNamara Fellowships Program,http://bit.ly/3fy0Cvf,World Bank research economists,Sponsoring  The World Bank,Development economics,3-Apr-23,
20,Micro Research Associate / Pre-doctoral Intern,https://bit.ly/3Lb8J0I,Yale SOM OB (Micro) group,Sponsoring  Yale School of Management,Behavioral Science,"Reviewed on a rolling basis, but priority consideration will be given to applications submitted by April 30, 2023.",
21,Full-Time Research Assistant,http://bit.ly/3ymQFsz,"<span style=""background-color: #ffffff; text-align: start; letter-spacing: normal; color: #000000;"">Samuel Bazzi</span>",Sponsoring  National Bureau of Economic Research,Political Economy,Rolling,
22,Research Professional,https://bit.ly/3YkqsWb,Michael Weber,Sponsoring  The University of Chicago Booth School of Business,Finance,Rolling,
23,Research Professional,https://bit.ly/3kOvxsb,Andreas Kraft,Sponsoring  The University of Chicago Booth School of Business,Marketing,Rolling,
24,Research Scientist,http://bit.ly/3mpITf3,NYU Stern Marketing Department,Sponsoring  NYU Stern School of Business,"Economics, Statistics, Marketing, Finance, Computer Science, Mathematics, Operations Research, Machine Learning, Physics",Rolling; all applications submitted before May 16th will receive full consideration,
25,Predoctoral Research Fellow,https://bit.ly/41Lc4cs,"Rocio Bonet, Associate Professor at IE University","Sponsoring  IE Foundation, IE University","Statistics and econometrics, behavioral science, labor and applied econometrics research",Rolling,
26,Research Fellow,https://bit.ly/3m6QmPL,Dr. Titus Galam,Sponsoring  University of Southern California,"Macro economic growth theory, dynamic computational modeling, geno-economics research",Rolling,
27,Research Professional,https://bit.ly/3xVqetR,Devin Pope and Joshua Dean,Sponsoring  The University of Chicago Booth School of Business,Behavioral Science,Rolling,
28,Pre-Doctoral Technical Associate,http://bit.ly/3ZnBMBS,Roberto Rigobon,Sponsoring  MIT Sloan School of Management,"ESG, Finance, Economics",Rolling,
29,"Post-Graduate Associate, Summer 2023",https://bit.ly/3EviylQ,Professor Ahmed Mushfiq Mobarak,Sponsoring  Yale Research Initiative on Innovation and Scale (Y-RISE),Development Economics,Rolling,
30,Pre-Doctoral Research Fellowship,http://bit.ly/3XP0wSx,"<span style=""background-color: #ffffff; text-align: start; letter-spacing: normal; color: #000000;""> Gilles Duranton</span>","Sponsoring  Wharton Real Estate Center, University of Pennsylvania","Urban Economics, Development Economics, Environmental Economics",Rolling,
31,Pre-Doctoral Fellowship,https://bit.ly/3Kk0a2X,Professors Adrien Bilal and Xavier Gabaix,Sponsoring  Harvard Economics Department,"Macroeconomics, macro-finance, labor, spatial economics and climate change economics",Rolling,
32,Pre-Doctoral Fellowship,https://bit.ly/3IhiNSB,Ben Enke,Sponsoring  Harvard University,"Behavioral economics, experimental economics and political economy",Rolling,
33,Predoctoral Research Specialist/Database Administrator,https://bit.ly/3k4id2r,David Hsu and Pinar Yildirim,"Sponsoring  Mack Institute for Innovation Management, The Wharton School, University of Pennsylvania",Entrepreneurial and innovation ecosystems; impact of online dating platforms on relationship outcomes and mental health,30-Apr-23,
34,Empirical Research Fellow,http://bit.ly/3XG5FfF,Profs. Sara Moreira and Nicolas Crouzet,Sponsoring  Kellogg School of Management at Northwestern University    ,"Macroeconomics, Firm Dynamics, and Corporate Finance",30-Mar-23,
35,Research Fellows,https://bit.ly/3BA51If,Abhishek Nagaraj,"Sponsoring  <em style=""color: #0e101a; background: transparent; margin-top: 0pt; margin-bottom: 0pt;""><span data-preserver-spaces=""true"" style=""color: #0e101a; background: transparent; margin-top: 0pt; margin-bottom: 0pt;"">Haas School of Business, UC Berkeley</span>","Economics, management, innovation, digitization",Rolling,
36,Predoctoral Associate in Research,https://bit.ly/3llO5zX,Ben Grunwald (Duke University School of Law); John Rappaport (University of Chicago Law School),"Sponsoring  Duke University School of Law, Wilson Center for Science and Justice","Public Policy, Criminal Justice, Police",Rolling,
37,Full-Time Research Assistant,http://bit.ly/3Xinkd0,Joseph Shapiro,Sponsoring  National Bureau of Economic Research,"Environmental/Energy Economics, Public Finance, Trade, Health Job",Rolling,
38,Predoctoral Fellowship,http://bit.ly/32gEYqR,Daniel Schneider and Kristen Harknett,Sponsoring  The Shift Project at Harvard Kennedy School,"Labor studies, sociology, public policy, survey data collection",6-Mar-23,
39,Work + Social Inequality Research Fellow,https://bit.ly/3DKQPNx,Professors David Pedulla and Daniel Schneider,"Sponsoring  Department of Sociology and Harvard Kennedy School, Harvard University",Work and social inequality; survey data collection and experimental methods,1-Mar-23,
40,Pre-Doctoral Fellowship in Macroeconomics,https://bit.ly/3Yr2dX3,Professors Gabriel Chodorow-Reich and Ludwig Straub,Sponsoring  Harvard Economics Department,Macroeconomics research,Rolling,
41,Research Associate--Junior Professional Researcher Program,http://bit.ly/3jubVsF,ISR faculty members,Sponsoring  The University of Michigan Institute for Social Research (ISR),"Social science methods and multidisciplinary research (projects include retirement research, economic behavior, sociodemographic studies, behavioral intervention programs, etc)",13-Mar-23,
42,Lab Manager/Research Staff Assistant,http://bit.ly/3YnQmsu,Professor Eric Johnson,Sponsoring  The Center for Decision Sciences at Columbia Business School,"Judgement &amp; Decision Making, Consumer Behavior, Behavioral Economics, Marketing",Rolling,
43,Economics Research Specialist,https://bit.ly/3HwD6uT,Heidi Williams,Sponsoring  Dartmouth University,Empirical research and policy projects related to science and innovation policy,Rolling,
44,Pre-doctoral Research Associate,https://bit.ly/3HRNhM5,Professor William Diamond,"Sponsoring  Wharton School, University of Pennsylvania ",Financial economics,Rolling,
45,Pre-doctoral Fellows,https://bit.ly/3ULQRKX,Kevin Williams and Aniko Oery,"Sponsoring  Tobin Center for Economic Policy, Yale University","Applied microeconomics/industrial organization, with a focus on dynamic pricing",Project Title: Dynamic Pricing with Applications to the Airline Industry  Rolling,
46,Full-Time Pre-doctoral Fellow/Research Assistant,http://bit.ly/3HPYI6S,"Reka Juhasz, Heather Sarsons, Victor Couture, Gorkem Bostanci, Munir Squires, Jamie McCasland, Samuel Norris, Patrick Baylis, Matt Lowe, Katherine Wagner, Felipe Valencia Caicedo","Sponsoring Institutions: Center for Innovative Data in Economics Research (CIDER), Vancouver School of Economics (VSE), University of British Columbia (UBC); Vancouver, Canada","Labour,  development, economic history, political economy, behavioural economics, public economics, urban economics, macroeconomics, environmental and energy economics, the economics of crime, and applied microeconomics",Rolling,
47,Full-Time Research Assistant,http://bit.ly/3Hs9vmb,Heidi Williams,Sponsoring  National Bureau of Economic Research,Science and Innovation Policy,Rolling,
48,Predoctoral Fellow,https://bit.ly/3XQgGvI,Professor Bruce D. Meyer,"Sponsoring  Harris School of Public Policy, The University of Chicago","CID-based income measures, government surveys, tax records and administrative program data",Project Title: Comprehensive Income Dataset (CID) Project  Rolling,
49,Predoctoral Research Assistant,http://bit.ly/3kYMHmQ,"Professors Katharina Lewellen, Gordon Phillips, Brian Melzer, and Felipe Serverino","Sponsoring  Tuck School of Business, Dartmouth College",Financial economics,"Rolling basis, no applications will be considered after March 31, 2023",
50,Research Associate,http://bit.ly/409mVwh,Centre researchers,Sponsoring  Inclusion Economics India Centre at IFMR/Krea University,Research focuses on gender as it relates to labor economics and broader economic empowerment; political economy and governance; and environmental economics,Rolling,
51,Research Associate,http://bit.ly/3Y736DY,Centre researchers,Sponsoring  Inclusion Economics India Centre at IFMR/Krea University,"Gender and education in Delhi, India",Rolling,
52,Research Associate,http://bit.ly/40fB4b5,Paul Gompers,Sponsoring  Harvard Business School,"Finance, economics",Rolling,
53,Research Associate,http://bit.ly/3jeUAUB,Victoria Ivashina,Sponsoring  Harvard Business School,"Finance, economics","Rolling, end of Spring",
54,Research Professional,https://bit.ly/3kNWax3,"Professors Matthew Denes, Spyros Lagaras, and Margarita Tsoutsoura","Sponsoring Tepper School of Business, Carnegie Mellon University","<span style=""color: #000000; background-color: #ffffff; text-align: start; letter-spacing: normal;"">US administrative tax data, corporate finance, entrepreneurship",Rolling,
55,Predoctoral Research Specialist/Database Administrator,https://bit.ly/3ky1vZg,J. Daniel Kim and Britta Glennon,"Sponsoring  Mack Institute for Innovation Management, The Wharton School, University of Pennsylvania","Applied microeconomics relating to cross-border innovation, as well as individual- and firm-level dynamics of startups and talent acquisition",31-May-23,
56,Predoc Fellow,http://bit.ly/3XsIeqA,Zachary Bleemer,Sponsoring  Yale University,"Economic mobility, higher education, labor economics, inequality, and applied microeconomics",Rolling,
57,Full-Time Research Scientist,http://bit.ly/3Wm0YXG,Professors Theresa Kuchler and Johannes Stroebel,"Sponsoring  Finance Department at Leonard N. Stern School of Business, New York University","Role of social networks and social capital on a range of economic outcomes, social mobility, investment decisions, microeconomics, and finance",Rolling,
58,Research Fellow,http://bit.ly/3wyAMi9,Nathaniel Hendren,The Massachusetts Institute of Technology ,"Economics, workforce/labor, macroeconomics","Priority deadline: February 19, 2023",
59,Empirical Research Fellow,http://bit.ly/3WbmG0v,"Professors Amanda Starc, Craig Garthwaite, and David Dranove"," Kellogg School of Management, Health Care at Kellogg",Healthcare Economics,Rolling,
60,Research Specialist,https://bit.ly/3CFIvyb,Johannes Haushofer,Busara Center for Behavioral Economics,"Development economics, Behavioral economics, Educational migration, Applied micro","Priority deadline: January 31, 2023",
