participant_id,age,gender,education_level,personality_trait,interest
1,25-34,Male,College,Organized,Music
2,25-34,Male,College,Analytical,Art
3,45-54,Male,College,Creative,Science
4,35-44,Male,Graduate school,Analytical,Science
5,25-34,Female,College,Organized,Science
6,45-54,Male,College,Organized,Sports
7,75+,Male,College,Outgoing,Science
8,65-74,Female,College,Organized,Science
9,25-34,Female,College,Analytical,Art
10,18-24,Female,College,Reliable,Music
11,35-44,Male,College,Analytical,Science
12,55-64,Male,Graduate school,Organized,Music
13,35-44,Male,College,Reliable,Science
14,25-34,Male,College,Creative,Technology
15,25-34,Male,High school,Creative,Music
16,25-34,Male,College,Reserved,Politics
17,35-44,Female,High school,Outgoing,Art
18,55-64,Female,College,Reserved,Politics
19,25-34,Male,Graduate school,Reserved,Sports
20,18-24,Male,Graduate school,Analytical,Art
21,75+,Male,College,Analytical,Politics
22,25-34,Male,Graduate school,Creative,Music
23,18-24,Male,Graduate school,Reserved,Sports
24,55-64,Male,Graduate school,Reliable,Science
25,25-34,Female,College,Organized,Music
26,55-64,Female,High school,Reserved,Technology
27,65-74,Female,High school,Creative,Music
28,55-64,Female,High school,Organized,Music
29,35-44,Female,High school,Organized,Music
30,25-34,Female,College,Reserved,Music
31,35-44,Female,High school,Outgoing,Sports
32,65-74,Female,Graduate school,Reliable,Music
33,35-44,Male,College,Outgoing,Sports
34,55-64,Female,Graduate school,Creative,Sports
35,45-54,Female,College,Reserved,Art
36,25-34,Female,College,Outgoing,Science
37,35-44,Male,Graduate school,Reliable,Sports
38,35-44,Female,Graduate school,Creative,Technology
39,55-64,Female,College,Organized,Technology
40,65-74,Female,Graduate school,Reliable,Art
41,18-24,Female,High school,Organized,Art
42,45-54,Female,High school,Creative,Politics
43,65-74,Male,High school,Organized,Technology
44,55-64,Female,High school,Organized,Music
45,25-34,Female,College,Organized,Politics
46,65-74,Female,College,Reliable,Technology
47,45-54,Male,High school,Reserved,Science
48,55-64,Male,Graduate school,Reliable,Sports
49,25-34,Female,Graduate school,Analytical,Sports
50,35-44,Female,Graduate school,Outgoing,Technology
51,45-54,Female,College,Outgoing,Technology
52,55-64,Female,College,Reliable,Art
53,25-34,Male,College,Creative,Sports
54,55-64,Female,Graduate school,Creative,Sports
55,45-54,Female,Graduate school,Analytical,Science
56,18-24,Female,College,Reserved,Music
57,65-74,Male,Graduate school,Reliable,Technology
58,25-34,Female,College,Reserved,Politics
59,55-64,Male,College,Outgoing,Art
60,55-64,Female,College,Reserved,Politics
61,55-64,Female,College,Organized,Politics
62,35-44,Female,Graduate school,Creative,Sports
63,35-44,Female,Graduate school,Reliable,Sports
64,55-64,Male,Graduate school,Reserved,Music
65,55-64,Female,High school,Creative,Technology
66,18-24,Female,College,Organized,Art
67,75+,Female,College,Reliable,Art
68,75+,Male,College,Creative,Art
69,18-24,Male,College,Reliable,Politics
70,55-64,Male,College,Analytical,Politics
71,25-34,Female,High school,Outgoing,Sports
72,18-24,Female,College,Reliable,Politics
73,35-44,Female,Graduate school,Reserved,Art
74,55-64,Male,High school,Analytical,Technology
75,65-74,Female,High school,Analytical,Science
76,35-44,Female,College,Organized,Politics
77,35-44,Male,College,Reliable,Technology
78,75+,Male,College,Reserved,Sports
79,65-74,Male,Graduate school,Analytical,Technology
80,35-44,Female,Graduate school,Reserved,Science
81,35-44,Female,High school,Reliable,Science
82,75+,Male,Graduate school,Reliable,Music
83,75+,Female,High school,Creative,Technology
84,35-44,Male,Graduate school,Reserved,Politics
85,45-54,Male,High school,Organized,Politics
86,35-44,Male,College,Reliable,Art
87,65-74,Male,Graduate school,Analytical,Music
88,75+,Male,Graduate school,Reliable,Sports
89,45-54,Male,Graduate school,Reserved,Politics
90,45-54,Female,College,Analytical,Politics
91,45-54,Male,Graduate school,Analytical,Science
92,75+,Male,Graduate school,Reliable,Science
93,35-44,Female,College,Reserved,Music
94,65-74,Female,College,Creative,Politics
95,65-74,Male,College,Reliable,Technology
96,65-74,Male,College,Reliable,Art
97,55-64,Male,Graduate school,Reliable,Music
98,18-24,Female,High school,Outgoing,Technology
99,55-64,Male,College,Reserved,Music
100,45-54,Female,High school,Analytical,Music
101,25-34,Male,Graduate school,Analytical,Sports
102,35-44,Female,Graduate school,Analytical,Art
103,25-34,Female,High school,Creative,Science
104,35-44,Female,High school,Organized,Science
105,75+,Male,College,Reserved,Politics
106,45-54,Female,College,Reliable,Science
107,25-34,Female,Graduate school,Creative,Sports
108,45-54,Female,College,Organized,Sports
109,18-24,Female,College,Outgoing,Politics
110,25-34,Male,College,Creative,Politics
111,25-34,Male,College,Creative,Politics
112,25-34,Female,College,Organized,Science
113,45-54,Female,Graduate school,Creative,Technology
114,35-44,Female,Graduate school,Analytical,Sports
115,18-24,Male,High school,Reserved,Science
116,25-34,Male,College,Reserved,Politics
117,45-54,Male,College,Reserved,Science
118,75+,Female,Graduate school,Reserved,Art
119,55-64,Female,Graduate school,Outgoing,Sports
120,45-54,Female,Graduate school,Creative,Music
121,35-44,Male,College,Analytical,Science
122,35-44,Male,Graduate school,Reserved,Art
123,55-64,Female,High school,Organized,Music
124,75+,Male,College,Organized,Technology
125,25-34,Female,College,Reserved,Technology
126,45-54,Male,College,Outgoing,Technology
127,18-24,Female,High school,Outgoing,Technology
128,25-34,Male,Graduate school,Reliable,Technology
129,18-24,Male,College,Reserved,Politics
130,45-54,Male,College,Analytical,Art
131,35-44,Male,High school,Reliable,Music
132,45-54,Male,College,Outgoing,Science
133,18-24,Female,College,Creative,Sports
134,25-34,Female,College,Creative,Science
135,55-64,Male,Graduate school,Reliable,Science
136,55-64,Male,College,Organized,Science
137,55-64,Male,College,Outgoing,Politics
138,35-44,Female,Graduate school,Creative,Music
139,35-44,Female,Graduate school,Reliable,Sports
140,25-34,Male,College,Reserved,Science
141,25-34,Female,High school,Organized,Science
142,25-34,Male,College,Analytical,Art
